setCount,objectCount,sensitivity,useClustering,useType,useId,runtime,confidence
200,2,0.03125,1,0,0,0.985,0.99
200,2,0.03125,1,1,0,0.005,0.99
200,2,0.03125,1,0,1,0.985,0.99
200,2,0.03125,1,1,1,0.005,0.99
200,2,0.0625,1,0,0,0.985,0.99
200,2,0.0625,1,1,0,0,0.99
200,2,0.0625,1,0,1,0.985,0.99
200,2,0.0625,1,1,1,0,0.99
200,2,0.125,1,0,0,0.985,0.99
200,2,0.125,1,1,0,0,0.99
200,2,0.125,1,0,1,0.985,0.99
200,2,0.125,1,1,1,0,0.99
200,2,0.25,1,0,0,1.835,0.99
200,2,0.25,1,1,0,0,0.99
200,2,0.25,1,0,1,0.985,0.99
200,2,0.25,1,1,1,0,0.99
200,2,0.5,1,0,0,1.4,0.99
200,2,0.5,1,1,0,0.005,0.99
200,2,0.5,1,0,1,0.985,0.99
200,2,0.5,1,1,1,0.005,0.99
200,2,1,1,0,0,1.22,0.99
200,2,1,1,1,0,0,0.99
200,2,1,1,0,1,0.985,0.99
200,2,1,1,1,1,0,0.99
200,1,0.015625,1,0,0,0,0.995
200,1,0.015625,1,1,0,0,0.995
200,1,0.015625,1,0,1,0,0.995
200,1,0.015625,1,1,1,0,0.995
200,1,0.03125,1,0,0,0,0.995
200,1,0.03125,1,1,0,0,0.995
200,1,0.03125,1,0,1,0,0.995
200,1,0.03125,1,1,1,0,0.995
200,1,0.0625,1,0,0,0,0.995
200,1,0.0625,1,1,0,0,0.995
200,1,0.0625,1,0,1,0,0.995
200,1,0.0625,1,1,1,0,0.995
200,1,0.125,1,0,0,0,0.995
200,1,0.125,1,1,0,0,0.995
200,1,0.125,1,0,1,0,0.995
200,1,0.125,1,1,1,0,0.995
200,1,0.25,1,0,0,0,0.995
200,1,0.25,1,1,0,0,0.995
200,1,0.25,1,0,1,0,0.995
200,1,0.25,1,1,1,0,0.995
200,1,0.5,1,0,0,0,0.995
200,1,0.5,1,1,0,0,0.995
200,1,0.5,1,0,1,0,0.995
200,1,0.5,1,1,1,0,0.995
200,1,1,1,0,0,0,0.995
200,1,1,1,1,0,0,0.995
200,1,1,1,0,1,0,0.995
200,1,1,1,1,1,0,0.995
100,6,0.015625,0,0,0,3.96,0.99
100,6,0.015625,0,1,0,0.99,0.99
100,6,0.015625,0,0,1,2.97,0.99
100,6,0.015625,0,1,1,0.99,0.99
100,6,0.03125,0,0,0,3.97,0.99
100,6,0.03125,0,1,0,0.99,0.99
100,6,0.03125,0,0,1,2.76,0.99
100,6,0.03125,0,1,1,0.99,0.99
100,6,0.0625,0,0,0,12.01,0.99
100,6,0.0625,0,1,0,0.99,0.99
100,6,0.0625,0,0,1,2.66,0.99
100,6,0.0625,0,1,1,0.99,0.99
100,6,0.125,0,0,0,43.02,0.99
100,6,0.125,0,1,0,0.99,0.99
100,6,0.125,0,0,1,25.81,0.99
100,6,0.125,0,1,1,0.99,0.99
100,6,0.25,0,0,0,62.27,0.99
100,6,0.25,0,1,0,0.99,0.99
100,6,0.25,0,0,1,19.85,0.99
100,6,0.25,0,1,1,0.99,0.99
100,6,0.5,0,0,0,104.45,0.99
100,6,0.5,0,1,0,0.99,0.99
100,6,0.5,0,0,1,56.8,0.99
100,6,0.5,0,1,1,0.99,0.99
100,6,1,0,0,0,123.56,0.99
100,6,1,0,1,0,0.99,0.99
100,6,1,0,0,1,72.71,0.99
100,6,1,0,1,1,0.99,0.99
100,5,0.015625,0,0,0,4.9,0.99
100,5,0.015625,0,1,0,0.99,0.99
100,5,0.015625,0,0,1,1.98,0.99
100,5,0.015625,0,1,1,0.99,0.99
100,5,0.03125,0,0,0,4.76,0.99
100,5,0.03125,0,1,0,0.99,0.99
100,5,0.03125,0,0,1,1.98,0.99
100,5,0.03125,0,1,1,0.99,0.99
100,5,0.0625,0,0,0,18.17,0.99
100,5,0.0625,0,1,0,0.99,0.99
100,5,0.0625,0,0,1,1.98,0.99
100,5,0.0625,0,1,1,0.99,0.99
100,5,0.125,0,0,0,17.86,0.99
100,5,0.125,0,1,0,0.99,0.99
100,5,0.125,0,0,1,1.98,0.99
100,5,0.125,0,1,1,0.99,0.99
100,5,0.25,0,0,0,58.96,0.99
100,5,0.25,0,1,0,0.99,0.99
100,5,0.25,0,0,1,10.17,0.99
100,5,0.25,0,1,1,0.99,0.99
100,5,0.5,0,0,0,31.31,0.99
100,5,0.5,0,1,0,0.99,0.99
100,5,0.5,0,0,1,20.81,0.99
100,5,0.5,0,1,1,0.99,0.99
100,5,1,0,0,0,31.51,0.99
100,5,1,0,1,0,0.99,0.99
100,5,1,0,0,1,20.81,0.99
100,5,1,0,1,1,0.99,0.99
100,4,0.015625,0,0,0,3.74,0.99
100,4,0.015625,0,1,0,0,0.99
100,4,0.015625,0,0,1,0.99,0.99
100,4,0.015625,0,1,1,0.11,0.99
100,4,0.03125,0,0,0,3.74,0.99
100,4,0.03125,0,1,0,0,0.99
100,4,0.03125,0,0,1,0.99,0.99
100,4,0.03125,0,1,1,0.02,0.99
100,4,0.0625,0,0,0,17.62,0.99
100,4,0.0625,0,1,0,0.01,0.99
100,4,0.0625,0,0,1,0.99,0.99
100,4,0.0625,0,1,1,0,0.99
100,4,0.125,0,0,0,17.06,0.99
100,4,0.125,0,1,0,0,0.99
100,4,0.125,0,0,1,0.99,0.99
100,4,0.125,0,1,1,0,0.99
100,4,0.25,0,0,0,35.98,0.99
100,4,0.25,0,1,0,0.01,0.99
100,4,0.25,0,0,1,8.91,0.99
100,4,0.25,0,1,1,0,0.99
100,4,0.5,0,0,0,28.62,0.99
100,4,0.5,0,1,0,0,0.99
